Gyroscope_x,Gyroscope_y,Gyroscope_z,Gyroscope_t,Gravity_x,Gravity_y,Gravity_z,Gravity_t,Magnetic_Field_x,Magnetic_Field_y,Magnetic_Field_z,Magnetic_Field_t
-3.2531433, 1.2095642, 0.3613739, 23.946724, 3.487104, -8.848306, -2.3912318, 26.45356, 31.167603, -15.878296, 8.227539, 23.946724, 
-0.50834656, 1.7349243, 0.45947266, 24.14814, 2.858123, -9.374626, 0.34336236, 26.644966, 24.423218, -25.602722, 20.932007, 24.14814, 
1.5324707, -0.62561035, -0.08035278, 24.349556, 3.5488338, -8.96285, 1.8009719, 26.840279, 24.874878, -22.080994, 22.02301, 24.349556, 
1.7465057, -0.8313904, 0.16621399, 24.550972, 2.2918208, -9.028379, -3.0669699, 27.035591, 25.488281, -15.589905, 19.685364, 24.550972, 
0.6159973, -0.33940125, -0.16404724, 24.752388, 3.0336218, -7.628121, -5.3646336, 27.226997, 27.508545, -10.60791, 16.511536, 24.752388, 
-3.8550415, 1.6946259, 0.8400574, 24.953804, 1.7694769, -8.628922, -4.310573, 27.42231, 25.654602, -24.97406, 17.079163, 24.953804, 
-0.38127136, 1.7324371, 0.25006104, 25.15522, 0.667472, -9.781705, -0.20763248, 27.613716, 17.108154, -31.343079, 21.315002, 25.15522, 
1.5209198, -1.0104065, -0.08023071, 25.356636, 1.319975, -9.64862, 1.1542088, 27.809029, 15.814209, -28.556824, 20.472717, 25.356636, 
2.1077118, -0.96406555, 0.013290405, 25.558052, 0.8719295, -8.037716, -5.5502486, 28.066841, 20.010376, -18.603516, 19.40918, 25.558052, 
-0.2935791, -0.6731415, -0.01927185, 25.759468, 1.9875649, -7.6459045, -5.810346, 28.262154, 20.796204, -15.589905, 13.821411, 25.759468, 
-3.3164063, 1.8748779, 0.50193787, 25.960884, 0.50173205, -9.245838, -3.230035, 28.45356, 17.893982, -24.56665, 14.666748, 25.960884, 
0.4426117, 0.549881, 0.21472168, 26.1623, 0.78963363, -9.74754, 0.72960466, 28.648872, 12.919617, -26.14746, 17.893982, 26.1623, 
1.4105072, -0.93377686, 0.20388794, 26.363716, 1.2357923, -9.684448, 0.92448556, 28.840279, 15.182495, -23.719788, 16.011047, 26.363716, 
1.973999, -1.8351746, -0.13235474, 26.565132, 1.3902757, -8.299786, -5.0349846, 29.035591, 20.46051, -16.998291, 9.718323, 26.565132, 
-0.600235, -0.6053467, 0.13563538, 26.766548, 2.532872, -7.8412094, -5.3169904, 29.230904, 21.633911, -13.076782, 4.211426, 26.766548, 
-2.9912262, -0.36616516, 0.25979614, 26.967964, 2.2693386, -8.887536, -3.4687452, 29.42231, 19.79065, -20.166016, 2.532959, 26.967964, 
0.70118713, -0.48094177, 0.20747375, 27.16938, 2.359086, -9.517271, -0.16323774, 29.617622, 19.696045, -20.021057, 6.828308, 27.16938, 
1.708313, -1.2557831, 0.51841736, 27.370796, 3.1051352, -9.298873, 0.24387528, 29.809029, 19.848633, -21.246338, 0.7019043, 27.370796, 
1.586441, -3.0139008, -0.28959656, 27.572212, 3.0064752, -8.5131035, -3.8286507, 30.004341, 15.267944, -23.90747, -14.468384, 27.572212, 
-1.8996887, -1.1986237, 0.40748596, 27.773628, 3.9450908, -8.418838, -3.1192665, 30.199654, 8.561707, -23.466492, -21.852112, 27.773628, 
-2.6856384, 0.93992615, -0.3095398, 27.975044, 4.051575, -8.7585945, -1.7441726, 30.39106, 7.13501, -6.651306, -25.51117, 27.975044, 
1.1822052, -1.1652374, -0.24928284, 28.17646, 3.4398046, -8.968895, 1.9740995, 30.648872, 5.89447, -7.8689575, -26.641846, 28.17646, 
2.7456512, -2.1952667, 0.31352234, 28.377876, 3.358539, -9.2135515, -0.032620996, 30.844185, -4.508972, -18.103027, -29.019165, 28.377876, 
1.3461914, -1.5463104, -0.5497284, 28.579292, 2.7917526, -8.773754, -3.3760538, 31.039497, -18.71643, -28.573608, -21.147156, 28.579292, 
-2.3937836, -0.10520935, 0.45222473, 28.780708, 2.6949124, -9.248335, -1.8374265, 31.230904, -20.76416, -26.985168, -21.362305, 28.780708, 
-2.354416, 1.4213867, -0.21585083, 28.982124, 2.1562445, -9.565846, 0.12484172, 31.426216, -14.6484375, -12.104797, -30.223083, 28.982124, 
0.9766388, 0.06742859, 0.26382446, 29.18354, 2.3582685, -9.138401, 2.664318, 31.617622, -8.935547, -18.22815, -32.962036, 29.18354, 
2.2536469, -0.9325714, -0.21577454, 29.384956, 2.2976375, -9.406191, 1.5539695, 31.812935, -17.57965, -29.833984, -30.322266, 29.384956, 
1.0863647, -0.86787415, -0.35671997, 29.586372, 2.1776855, -8.395203, -4.5769696, 32.008247, -21.618652, -40.223694, -22.486877, 29.586372, 
-2.8015747, 1.8460236, 0.24247742, 29.787788, 2.8983805, -8.706504, -3.4592724, 32.199654, -14.463806, -28.66211, -37.32605, 29.787788, 
-1.7400513, 3.2552643, 1.0923004, 29.989204, 2.1624742, -9.5328, -0.7872891, 32.457466, 8.561707, -4.6966553, -33.90503, 29.989204, 
0.94010925, 0.21322632, -0.01399231, 30.19062, 2.2270014, -9.39706, 1.7047316, 32.65278, 17.555237, -7.7209473, -30.342102, 30.19062, 
1.6668854, -0.18675232, 0.30471802, 30.392036, 1.6500928, -9.385657, -2.3145242, 32.844185, 16.438293, -16.931152, -29.832458, 30.392036, 
0.39093018, 0.28131104, -0.19676208, 30.593452, 3.3116798, -7.697763, -5.093879, 33.039497, 15.600586, -24.05243, -26.737976, 30.593452, 
-2.8929138, 2.216751, 0.8385925, 30.794868, 3.4658713, -8.808709, -2.5621793, 33.23481, 23.336792, -12.013245, -20.283508, 30.794868, 
-0.49745178, 2.1328278, 0.6830902, 30.996284, 3.1859605, -9.274601, -0.042549826, 33.426216, 30.348206, -11.735535, 1.2786865, 30.996284, 
1.1061249, -0.73757935, 0.2672119, 31.1977, 2.8123412, -9.194865, 1.9275819, 33.62153, 28.367615, -11.827087, -0.6652832, 31.1977, 
1.7099915, -1.178772, 0.021057129, 31.399117, 2.6115735, -9.439599, -0.494002, 33.81684, 27.313232, -14.971924, -6.880188, 31.399117, 
0.46865845, -0.5861511, -0.041152954, 31.600533, 3.191158, -8.56932, -3.5431159, 34.008247, 26.99585, -17.097473, -11.752319, 31.600533, 
-3.813324, 1.03125, 0.6410217, 31.801949, 3.076975, -9.200615, -1.4322361, 34.26606, 28.82843, -12.228394, -8.076477, 31.801949, 
-0.055541992, 1.4745026, 0.1958313, 32.003365, 2.4548738, -9.494344, -0.037762504, 34.461372, 26.325989, -12.071228, 6.491089, 32.003365, 
1.2275085, -0.97465515, -0.14555359, 32.20478, 2.316744, -9.5255785, 0.25775734, 34.65278, 27.397156, -9.909058, 5.368042, 32.20478, 
1.7150574, -0.6167755, 0.17327881, 32.406197, 2.1556761, -9.560068, 0.35853842, 34.84809, 25.798035, -8.551025, 1.0925293, 32.406197, 
-0.74539185, -0.26400757, 0.027053833, 32.607613, 2.1047711, -9.570794, 0.37446, 35.043404, 26.493835, -8.551025, -1.8157959, 32.607613, 
-3.155136, 2.132843, 0.60147095, 32.80903, 2.0898712, -9.574984, 0.3500166, 35.23481, 25.697327, -15.402222, 9.953308, 32.80903, 
0.86950684, 1.4039764, 0.12019348, 33.010445, 2.004714, -9.59937, 0.06001537, 35.430122, 20.794678, -17.60254, 19.750977, 33.010445, 
1.2653046, -0.41880798, -0.05999756, 33.21186, 1.9000493, -9.618531, -0.20988023, 35.62153, 22.103882, -14.343262, 17.05017, 33.21186, 
1.3403168, 0.061019897, 0.21461487, 33.413277, 1.9101812, -9.611927, -0.3639486, 35.81684, 21.162415, -11.453247, 19.288635, 33.413277, 
-0.75390625, 0.042312622, 0.03845215, 33.614693, 1.8920794, -9.610552, -0.47720155, 36.012154, 21.968079, -11.399841, 17.567444, 33.614693, 
-2.5493164, 1.3574066, 0.102005005, 33.81611, 1.8145232, -9.621975, -0.5435873, 36.20356, 16.671753, -23.451233, 24.279785, 33.81611, 
0.70381165, 1.3281555, 0.81074524, 34.017525, 1.7536362, -9.636301, -0.48668167, 36.398872, 4.6966553, -25.068665, 32.80945, 34.017525, 
0.24633789, 0.9483948, 0.057891846, 34.21894, 1.6918557, -9.649584, -0.43993327, 36.594185, -2.6657104, -23.634338, 34.34601, 34.21894, 
0.33836365, 0.14761353, 0.09944153, 34.420357, 1.6301323, -9.663491, -0.3605286, 36.851997, -3.9108276, -17.932129, 33.877563, 34.420357, 
0.067840576, 0.13635254, 0.0854187, 34.621773, 1.6211078, -9.667097, -0.29938337, 37.043404, -4.9453735, -18.908691, 35.71472, 34.621773, 
0.035217285, 0.0602417, 0.0098724365, 34.82319, 1.6118209, -9.668701, -0.29772547, 37.238716, -5.1864624, -17.453003, 34.18579, 34.82319, 
